Electrode_ID,Neuron_ID,Spike_Frame,Spike_Time_Seconds
Ch0,Ch0_U1,109849,2.746225
Ch30,Ch30_U1,109955,2.748875
Ch31,Ch31_U1,109961,2.749025
Ch36,Ch36_U2,109966,2.74915
Ch26,Ch26_U3,110000,2.75
Ch16,Ch16_U1,110011,2.750275
Ch51,Ch51_U1,110026,2.75065
Ch54,Ch54_U3,110029,2.750725
Ch0,Ch0_U1,110063,2.751575
Ch30,Ch30_U1,110092,2.7523
Ch26,Ch26_U3,110114,2.75285
Ch30,Ch30_U2,110199,2.754975
Ch26,Ch26_U2,110233,2.755825
Ch26,Ch26_U2,110360,2.759
Ch51,Ch51_U1,110367,2.759175
Ch54,Ch54_U2,110389,2.759725
Ch51,Ch51_U1,110505,2.762625
Ch51,Ch51_U1,110570,2.76425
Ch26,Ch26_U2,110596,2.7649
Ch22,Ch22_U2,110628,2.7657
Ch0,Ch0_U1,110639,2.765975
Ch54,Ch54_U2,110640,2.766
Ch54,Ch54_U3,110815,2.770375
Ch21,Ch21_U2,110849,2.771225
Ch0,Ch0_U1,110889,2.772225
Ch51,Ch51_U1,111058,2.77645
Ch30,Ch30_U2,111071,2.776775
Ch30,Ch30_U2,111091,2.777275
Ch0,Ch0_U1,111131,2.778275
Ch30,Ch30_U1,111307,2.782675
Ch0,Ch0_U1,111369,2.784225
Ch26,Ch26_U4,111496,2.7874
Ch30,Ch30_U2,111515,2.787875
Ch54,Ch54_U3,111543,2.788575
Ch54,Ch54_U2,111730,2.79325
Ch35,Ch35_U1,111896,2.7974
Ch30,Ch30_U2,111910,2.79775
Ch26,Ch26_U4,111959,2.798975
Ch54,Ch54_U3,112180,2.8045
Ch30,Ch30_U2,112220,2.8055
Ch26,Ch26_U4,112257,2.806425
Ch38,Ch38_U3,112506,2.81265
Ch30,Ch30_U1,112527,2.813175
Ch54,Ch54_U2,112781,2.819525
Ch30,Ch30_U1,112832,2.8208
Ch26,Ch26_U2,112899,2.822475
Ch54,Ch54_U2,112989,2.824725
Ch30,Ch30_U2,113190,2.82975
Ch31,Ch31_U2,113198,2.82995
Ch54,Ch54_U2,113465,2.836625
Ch30,Ch30_U1,113563,2.839075
Ch52,Ch52_U3,113734,2.84335
Ch54,Ch54_U2,113735,2.843375
Ch30,Ch30_U2,114070,2.85175
Ch54,Ch54_U3,114233,2.855825
Ch54,Ch54_U2,114487,2.862175
Ch8,Ch8_U2,114876,2.8719
Ch54,Ch54_U2,114906,2.87265
Ch54,Ch54_U3,115542,2.88855
Ch26,Ch26_U2,116593,2.914825
Ch52,Ch52_U2,117014,2.92535
Ch20,Ch20_U4,117448,2.9362
Ch20,Ch20_U1,165278,4.13195
Ch19,Ch19_U1,165346,4.13365
Ch19,Ch19_U4,165361,4.134025
Ch0,Ch0_U1,165377,4.134425
Ch26,Ch26_U2,165401,4.135025
Ch13,Ch13_U1,165404,4.1351
Ch18,Ch18_U1,165408,4.1352
Ch20,Ch20_U2,165408,4.1352
Ch0,Ch0_U1,165426,4.13565
Ch26,Ch26_U2,165426,4.13565
Ch32,Ch32_U1,165440,4.136
Ch26,Ch26_U2,165445,4.136125
Ch6,Ch6_U2,165452,4.1363
Ch12,Ch12_U1,165457,4.136425
Ch26,Ch26_U2,165460,4.1365
Ch38,Ch38_U1,165472,4.1368
Ch26,Ch26_U4,165475,4.136875
Ch34,Ch34_U1,165480,4.137
Ch7,Ch7_U1,165488,4.1372
Ch52,Ch52_U1,165489,4.137225
Ch51,Ch51_U1,165493,4.137325
Ch30,Ch30_U1,165510,4.13775
Ch36,Ch36_U2,165511,4.137775
Ch37,Ch37_U1,165516,4.1379
Ch19,Ch19_U5,165523,4.138075
Ch8,Ch8_U1,165525,4.138125
Ch51,Ch51_U1,165532,4.1383
Ch52,Ch52_U5,165533,4.138325
Ch54,Ch54_U2,165534,4.13835
Ch5,Ch5_U1,165541,4.138525
Ch3,Ch3_U1,165543,4.138575
Ch26,Ch26_U4,165544,4.1386
Ch20,Ch20_U4,165549,4.138725
Ch0,Ch0_U1,165550,4.13875
Ch26,Ch26_U4,165564,4.1391
Ch30,Ch30_U1,165574,4.13935
Ch32,Ch32_U2,165575,4.139375
Ch37,Ch37_U1,165585,4.139625
Ch54,Ch54_U2,165595,4.139875
Ch47,Ch47_U1,165602,4.14005
Ch38,Ch38_U3,165603,4.140075
Ch8,Ch8_U1,165628,4.1407
Ch51,Ch51_U1,165683,4.142075
Ch12,Ch12_U1,165685,4.142125
Ch30,Ch30_U2,165686,4.14215
Ch51,Ch51_U1,165704,4.1426
Ch54,Ch54_U3,165731,4.143275
Ch47,Ch47_U2,165760,4.144
Ch44,Ch44_U1,165762,4.14405
Ch0,Ch0_U1,165765,4.144125
Ch30,Ch30_U1,165773,4.144325
Ch51,Ch51_U1,165784,4.1446
Ch0,Ch0_U1,165798,4.14495
Ch8,Ch8_U1,165812,4.1453
Ch0,Ch0_U1,165825,4.145625
Ch21,Ch21_U1,165826,4.14565
Ch3,Ch3_U1,165832,4.1458
Ch51,Ch51_U1,165834,4.14585
Ch54,Ch54_U2,165835,4.145875
Ch52,Ch52_U5,165846,4.14615
Ch31,Ch31_U1,165849,4.146225
Ch30,Ch30_U2,165924,4.1481
Ch16,Ch16_U1,165935,4.148375
Ch12,Ch12_U1,165949,4.148725
Ch26,Ch26_U2,165959,4.148975
